source_corpus,name_raw,name_normalized,is_arabic
lk,This hadith has been,This hadith has been,False
thaqalayn,ابيهما،,ابيهما،,True
sanadset,عَبْدِ اللَّهِ بْنِ رَبِيعَةَ,عبد الله بن ربيعه,True
sanadset,أَبِي,ابي,True
sanadset,الأَعْمَشِ,الاعمش,True
sanadset,عَبْدُ اللَّهِ بْنُ وَهْبٍ,عبد الله بن وهب,True
sanadset,يَزِيدَ بْنِ عَبْدِ اللَّهِ بْنِ الشِّخِّيرِ,يزيد بن عبد الله بن الشخير,True
sanadset,عَبْدُ اللَّهِ بْنُ مَسْلَمَةَ,عبد الله بن مسلمه,True
sanadset,أَبُو عَامِرٍ,ابو عامر,True
sanadset,الصَّيْمَرِيُّ,الصيمري,True
sanadset,أَبُو مُحَمَّدٍ عَبْدُ اللَّهِ بْنُ مُحَمَّدِ بْنِ جَعْفَرِ بْنِ حِبَّانَ,ابو محمد عبد الله بن محمد بن جعفر بن حبان,True
sanadset,رَجُلٍ,رجل,True
sanadset,عُبَيْدُ اللَّهِ بْنُ مُوسَى,عبيد الله بن موسى,True
sanadset,سُفْيَانُ بْنُ عُيَيْنَةَ,سفيان بن عيينه,True
sanadset,أَبِي الْعَبَّاسِ,ابي العباس,True
sanadset,الزُّهْرِيِّ,الزهري,True
thaqalayn,12-22,12-22,False
sanadset,أَبُو بَكْرٍ أَحْمَدُ بْنُ عَمْرِو بْنِ جَابِرٍ الرَّمْلِيُّ,ابو بكر احمد بن عمرو بن جابر الرملي,True
thaqalayn,عبد الله بن بكير،,عبد الله بن بكير،,True
sanadset,ابْنِ عُمَرَ,ابن عمر,True
sanadset,ابْنِ عَبَّاسٍ,ابن عباس,True
sanadset,أَبُو بَكْرٍ عَبْدُ اللَّهِ بْنُ حَكِيمٍ الدَّاهِرِيُّ,ابو بكر عبد الله بن حكيم الداهري,True
sanadset,رِبْعِيِّ بْنِ حِرَاشٍ,ربعي بن حراش,True
sanadset,عَلِيُّ بْنُ زَيْدِ بْنِ جُدْعَانَ,علي بن زيد بن جدعان,True
sanadset,حَمَّادُ بْنُ مَسْعَدَةَ,حماد بن مسعده,True
sanadset,رُزَيْقِ بْنِ حَيَّانَ,رزيق بن حيان,True
thaqalayn,2-91,2-91,False
sanadset,عُثْمَانَ بْنَ حُنَيْفٍ,عثمان بن حنيف,True
thaqalayn,ه شء، ولا يجوز عليه جهل ولا سهو ولا شك ولا نسيان، مستحق للوصف بذلك بانه اعلم العالمين، حي لا يجوز عليه موت ولا نوم، ولا ترجع اليه منفعه ولا تناله مضره، مستحق للوصف بذلك بانه ابقى الباقين واكمل الكاملين، فاعل لا يشغله شء,ه شء، ولا يجوز عليه جهل ولا سهو ولا شك ولا نسيان، مستحق للوصف بذلك بانه اعلم العالمين، حي لا يجوز عليه موت ولا نوم، ولا ترجع اليه منفعه ولا تناله مضره، مستحق للوصف بذلك بانه ابقى الباقين واكمل الكاملين، فاعل لا يشغله شء,True
sanadset,عَمْرِو بْنِ شُعَيْبٍ,عمرو بن شعيب,True
sanadset,الْحُسَيْنُ بْنُ إِسْمَاعِيلَ,الحسين بن اسماعيل,True
sanadset,مُحَمَّدُ بْنُ عُبَيْدٍ,محمد بن عبيد,True
sanadset,عَبْدُ اللَّهِ بْنُ مُحَمَّدِ بْنِ جَعْفَرٍ,عبد الله بن محمد بن جعفر,True
sanadset,الرِّيَاشِيُّ,الرياشي,True
thaqalayn,3 -,3 -,False
sanadset,عَائِشَةَ,عاءشه,True
sanadset,حَمْزَةَ بْنِ عَبْدِ اللَّهِ بْنِ عُمَرَ,حمزه بن عبد الله بن عمر,True
sanadset,جَرِيرُ بْنُ عَبْدِ الْحَمِيدِ,جرير بن عبد الحميد,True
sanadset,صَفِيَّةَ بِنْتِ أَبِي عُبَيْدٍ,صفيه بنت ابي عبيد,True
sanadset,سُفْيَانُ بْنُ عُيَيْنَةَ,سفيان بن عيينه,True
sanadset,أَبِي هُرَيْرَةَ,ابي هريره,True
sanadset,<NAR> إِبْرَاهِيمَ,<NAR> ابراهيم,True
sanadset,رَوْحٌ,روح,True
sanadset,عُمَارَةُ بْنُ زَاذَانَ,عماره بن زاذان,True
sanadset,عَبَّاسٌ,عباس,True
thaqalayn,حدثنی محمد بن الحسن قال حدثنی محمد بن یحیی عن محمد بن احمد عن سهل بن زیاد عن جعفر بن محمد بن بشار عن عبد الله بن درست عن عبد الحمید عن ابی ابراهیم موسی بن جعفر ع قال قال رسول الله ص للمریض اربع خصال یرفع عنه القلم و یامر الله الملک یکتب له فضلا کان یعمله فی صحته و یتبع مرضه کل عضو فی جسده فیستخرج ذنوبه منه فان مات مات مغفورا له و ان عاش عاش مغفورا له.,حدثنی محمد بن الحسن قال حدثنی محمد بن یحیی عن محمد بن احمد عن سهل بن زیاد عن جعفر بن محمد بن بشار عن عبد الله بن درست عن عبد الحمید عن ابی ابراهیم موسی بن جعفر ع قال قال رسول الله ص للمریض اربع خصال یرفع عنه القلم و یامر الله الملک یکتب له فضلا کان یعمله فی صحته و یتبع مرضه کل عضو فی جسده فیستخرج ذنوبه منه فان مات مات مغفورا له و ان عاش عاش مغفورا له.,True
sanadset,الرَّبِيعُ بْنُ سُلَيْمَانَ,الربيع بن سليمان,True
sanadset,أَبُو الأَسْوَدِ,ابو الاسود,True
sanadset,أَنَسٍ,انس,True
sanadset,يُونُسُ,يونس,True
sanadset,سَعِيدِ بْنِ <NAR> سَعْدِ بْنِ عُبَادَةَ,سعيد بن <NAR> سعد بن عباده,True
sanadset,سُلَيْمَانُ,سليمان,True
sanadset,شُعْبَةُ,شعبه,True
sanadset,رَوْحٌ,روح,True
sanadset,عِيسَى بْنُ يُونُسَ,عيسى بن يونس,True
sanadset,ابْنِ عَبَّاسٍ,ابن عباس,True
sanadset,الْمِقْدَادَ بْنَ الأَسْوَدِ,المقداد بن الاسود,True
sanadset,الزُّهْرِيِّ,الزهري,True
thaqalayn,مصعب،,مصعب،,True
sanadset,حَمَّادٌ,حماد,True
sanadset,عُبَيْدِ اللَّهِ,عبيد الله,True
sanadset,مُحَمَّدُ بْنُ عَبْدِ اللَّهِ الزُّبَيْرِيُّ,محمد بن عبد الله الزبيري,True
sanadset,سَلَمَةَ بْنِ كُهَيْلٍ,سلمه بن كهيل,True
thaqalayn,سهل بن زياد الادمي،,سهل بن زياد الادمي،,True
sanadset,ابْنِ عَبَّاسٍ,ابن عباس,True
sanadset,عَبْدُ اللَّهِ بْنُ وَهْبٍ,عبد الله بن وهب,True
sanadset,عَفِيرُ بْنُ مَعْدَانَ,عفير بن معدان,True
sanadset,هِشَامِ بْنِ عُرْوَةَ,هشام بن عروه,True
sanadset,ابْنِ عُمَرَ,ابن عمر,True
sanadset,أَبِي إِسْحَاقَ,ابي اسحاق,True
sanadset,مُعَاذُ بْنُ هِشَامٍ,معاذ بن هشام,True
sanadset,عَمْرُو بْنُ شُعَيْبٍ,عمرو بن شعيب,True
sanadset,مَيْمُونِ بْنِ مِهْرَانَ,ميمون بن مهران,True
sanadset,الأَعْمَشِ,الاعمش,True
sanadset,دَاوُدُ,داود,True
sanadset,أَبِي هَارُونَ الْعَبْدِيِّ,ابي هارون العبدي,True
sanadset,عِيسَى بْنُ يُونُسَ,عيسى بن يونس,True
lk,هما عن النبي صلى الله عليه وسلم قال,هما عن النبي صلى الله عليه وسلم قال,True
sanadset,ابْنِ عَبَّاسٍ,ابن عباس,True
thaqalayn,الحسين بن عبد الله,الحسين بن عبد الله,True
lk,حدثنا ابو عمار الحسين بن حريث الخزاعي، حدثنا الفضل بن موسى، عن صالح بن ابي جبير، عن ابيه، عن رافع بن عمرو،,حدثنا ابو عمار الحسين بن حريث الخزاعي، حدثنا الفضل بن موسى، عن صالح بن ابي جبير، عن ابيه، عن رافع بن عمرو،,True
sanadset,أَحْمَدُ بْنُ مُحَمَّدِ بْنِ إِبْرَاهِيمَ,احمد بن محمد بن ابراهيم,True
sanadset,مُحَمَّدٌ,محمد,True
sanadset,عَائِشَةَ,عاءشه,True
sanadset,وَمُحَمَّدُ بْنُ مُوسَى,ومحمد بن موسى,True
sanadset,عَلِيُّ بْنُ أَحْمَدَ بْنِ عَبْدَانَ,علي بن احمد بن عبدان,True
sanadset,ابْنِ عُمَرَ,ابن عمر,True
thaqalayn,: سالته,: سالته,True
sanadset,عَبْدُ اللَّهِ بْنُ أَحْمَدَ,عبد الله بن احمد,True
sanadset,أَبُو الْحَسَنِ عَلِيُّ بْنُ الْحُسَيْنِ بْنِ بُنْدَارٍ الأَنْطَاكِيُّ,ابو الحسن علي بن الحسين بن بندار الانطاكي,True
